"destination","passanger","weather","temperature","time","coupon","expiration","gender","age","maritalStatus","has_children","education","occupation","income","car","Bar","CoffeeHouse","CarryAway","RestaurantLessThan20","Restaurant20To50","toCoupon_GEQ5min","toCoupon_GEQ15min","toCoupon_GEQ25min","direction_same","direction_opp","Y"
"No Urgent Place","Friend(s)","SNOWY",80,"6PM","Restaurant(<20)","2h","Male","50plus","Married partner",0,"bachelors degree","Protective Service","$37500 - $49999","","never","less1","gt8","gt8","1~3","1",1,0,0,1,1
"No Urgent Place","Friend(s)","Snowy",55,"10am","Carry out & Take away","1d","Male","50plus","Married partner",0,"Associates Degree","Protective Service","$37500 - $49999","","never","less1","gt8","gt8","1~3","1",1,0,0,1,1
NA,"Partner","SUNNY",80,"10am","Coffee House","2h","Male","50plus","Married partner",0,"Some High School","Protective Service","$37500 - $49999","","never","less1","gt8","gt8","1~3","1",0,NA,0,1,0
"No Urgent Place","Partner","sunny",80,"7am","Restaurant(20-50)","1d","Male",NA,"Married partner",0,"High School Graduate","Protective Service","$37500 - $49999","","never","less1","gt8","gt8","1~3","1",0,0,0,NA,NA
"No Urgent Place","Partner","Sunny",80,"10PM",NA,"2h","Male","50plus",NA,NA,"SOME HIGH SCHOOL","Protective Service","$37500 - $49999","","never","less1","gt8","gt8",NA,"1",0,0,0,1,0
"No Urgent Place",NA,"Sunny",80,"6pm","Coffee House","2h","Male","50plus","Married partner",0,"some high school","Protective Service","$37500 - $49999","",NA,"less1","gt8","gt8","1~3","1",1,0,0,1,0
"No Urgent Place",NA,"SUNNY",NA,"6pm","Restaurant(<20)","2h","Male","50plus","Married partner",0,"Some College - No Degree","Protective Service","$37500 - $49999","","never","less1","gt8","gt8","1~3","1",0,0,0,1,1
"No Urgent Place","Partner","rainy",80,"10am","Bar","1d","Male","50plus","Married partner",0,"Some College - No Degree","Protective Service",NA,"","never","less1","gt8",NA,"1~3","0",1,0,0,1,0
"Home","Alone","Snowy",55,"2pm","Bar",NA,"Male","50plus","Married partner",0,"some college - no degree","Protective Service","$37500 - $49999","","never","less1","gt8","gt8","1~3","1",0,0,NA,0,0
"Home","Alone","RAINY",55,"7AM","Restaurant(20-50)","1d","Male","50plus",NA,0,"Associates Degree","Protective Service","$37500 - $49999",NA,NA,"less1","gt8","gt8","1~3","1",1,0,0,1,1
"Home","Alone","snowy",NA,"7am","Coffee House","2h",NA,"50plus","Married partner",0,"SOME HIGH SCHOOL","Protective Service","$37500 - $49999","","never","less1","gt8","gt8","1~3","1",0,0,0,1,1
"Work",NA,"sunny",55,"10pm",NA,"2h","Male","50plus",NA,0,"Graduate Degree (Masters or Doctorate)","Protective Service","$37500 - $49999","","never","less1","gt8","gt8","1~3","1",NA,1,0,1,1
"Work","Alone","sunny",55,"10pm","Bar","1d","Male","50plus","Married partner",0,"Bachelors Degree","Protective Service","$37500 - $49999","","never","less1","gt8","gt8","1~3","1",1,1,0,NA,0
"Work","Alone","SNOWY",80,"10am","Restaurant(20-50)","1d","Male","50plus","Married partner",0,"SOME HIGH SCHOOL","Protective Service","$37500 - $49999","","never",NA,"gt8","gt8","1~3","1",1,0,0,1,1
"Work","Alone","RAINY",80,"10pm","Carry out & Take away","2h","Male","50plus",NA,0,"associates degree","Protective Service","$37500 - $49999","","never","less1","gt8","gt8","1~3","1",NA,0,1,0,1
"Work","Alone","Sunny",55,"7am","Restaurant(<20)","1d","Male","50plus","Married partner",0,"High School Graduate","Protective Service",NA,"","never","less1","gt8","gt8","1~3","1",0,0,0,1,1
"Work","Alone","RAINY",55,"10PM","Coffee House","2h","Male","50plus","Married partner",0,"BACHELORS DEGREE","Protective Service","$37500 - $49999",NA,"never","less1","gt8","gt8",NA,"1",1,0,0,1,0
"No Urgent Place",NA,"rainy",55,"7am","Restaurant(<20)","1d","Female","46","Married partner",NA,"GRADUATE DEGREE (MASTERS OR DOCTORATE)","Arts Design Entertainment Sports & Media","$25000 - $37499","","less1","4~8","1~3","1~3","less1","0",0,0,0,1,1
"No Urgent Place","Friend(s)","rainy",80,"6pm","Coffee House","2h","Female","46","Married partner",0,"SOME COLLEGE - NO DEGREE","Arts Design Entertainment Sports & Media","$25000 - $37499","","less1","4~8","1~3","1~3",NA,"1",0,0,0,NA,1
"No Urgent Place","Friend(s)","SNOWY",80,"10PM",NA,"2h","Female","46",NA,0,"High School Graduate","Arts Design Entertainment Sports & Media","$25000 - $37499","","less1","4~8","1~3","1~3","less1","1",1,0,0,NA,0
"No Urgent Place","Friend(s)","RAINY",80,"6pm","Coffee House","2h",NA,NA,"Married partner",0,"HIGH SCHOOL GRADUATE","Arts Design Entertainment Sports & Media","$25000 - $37499","","less1","4~8","1~3","1~3","less1","1",1,0,NA,1,1
"No Urgent Place","Friend(s)","snowy",80,"2PM","Coffee House","1d","Female","46","Married partner",0,"some high school","Arts Design Entertainment Sports & Media","$25000 - $37499","","less1","4~8","1~3","1~3","less1","1",1,0,0,1,0
NA,"Friend(s)","sunny",80,"2PM","Restaurant(<20)",NA,"Female","46","Married partner",0,"bachelors degree","Arts Design Entertainment Sports & Media","$25000 - $37499","","less1","4~8","1~3","1~3","less1","1",1,NA,0,NA,0
"No Urgent Place","Friend(s)","sunny",55,"2pm","Carry out & Take away","1d","Female","46","Married partner",0,"SOME COLLEGE - NO DEGREE","Arts Design Entertainment Sports & Media","$25000 - $37499","","less1","4~8","1~3","1~3","less1","1",1,0,0,1,0
"No Urgent Place","Partner","rainy",80,"2pm","Coffee House","2h","Female","46","Married partner",0,"bachelors degree","Arts Design Entertainment Sports & Media","$25000 - $37499",NA,"less1","4~8","1~3","1~3","less1","1",0,0,0,1,1
"No Urgent Place",NA,"SUNNY",80,"7AM","Restaurant(20-50)","1d","Female","46","Married partner",0,"some high school","Arts Design Entertainment Sports & Media","$25000 - $37499","","less1","4~8","1~3","1~3","less1","0",NA,0,0,1,1
"No Urgent Place","Partner","SUNNY",80,"10am","Bar","2h","Female","46",NA,0,"Bachelors Degree","Arts Design Entertainment Sports & Media","$25000 - $37499","","less1","4~8","1~3","1~3","less1","1",0,0,0,1,0
"No Urgent Place","Partner","RAINY",80,"10AM","Coffee House","2h","Female","46","Married partner",0,"Graduate Degree (Masters or Doctorate)","Arts Design Entertainment Sports & Media","$25000 - $37499","","less1","4~8","1~3","1~3","less1","1",1,0,0,1,1
"No Urgent Place","Partner","RAINY",NA,"7AM","Restaurant(<20)","2h","Female","46","Married partner",0,"HIGH SCHOOL GRADUATE","Arts Design Entertainment Sports & Media","$25000 - $37499","","less1","4~8","1~3","1~3","less1","1",0,0,NA,1,1
"No Urgent Place",NA,"SNOWY",80,"7AM","Bar","1d","Female","46","Married partner",0,"GRADUATE DEGREE (MASTERS OR DOCTORATE)","Arts Design Entertainment Sports & Media",NA,"","less1","4~8","1~3","1~3","less1","1",1,0,NA,NA,1
"Home","Alone","RAINY",55,"10am","Bar","1d","Female","46","Married partner",0,"some high school","Arts Design Entertainment Sports & Media","$25000 - $37499","","less1","4~8","1~3",NA,"less1","1",0,0,1,0,1
"Home","Alone","snowy",55,"2PM","Restaurant(20-50)",NA,"Female","46","Married partner",0,"SOME COLLEGE - NO DEGREE","Arts Design Entertainment Sports & Media","$25000 - $37499","",NA,"4~8","1~3","1~3","less1","1",1,0,0,1,1
"Home","Alone","rainy",80,"6PM","Coffee House","2h","Female","46","Married partner",0,"Some College - No Degree","Arts Design Entertainment Sports & Media","$25000 - $37499",NA,"less1","4~8","1~3","1~3",NA,"1",0,0,NA,1,1
"Work","Alone","Rainy",NA,"10am","Coffee House","2h","Female","46","Married partner",NA,"Some College - No Degree","Arts Design Entertainment Sports & Media","$25000 - $37499",NA,NA,"4~8","1~3","1~3","less1","1",1,1,0,1,1
"Work",NA,"SNOWY",55,"10pm","Bar","1d","Female","46","Married partner",0,"bachelors degree","Arts Design Entertainment Sports & Media","$25000 - $37499","","less1","4~8","1~3","1~3","less1","1",NA,1,0,1,0
"Work","Alone","RAINY",80,"6PM","Restaurant(20-50)","1d","Female","46",NA,0,"BACHELORS DEGREE","Arts Design Entertainment Sports & Media","$25000 - $37499","","less1","4~8","1~3","1~3","less1","1",1,0,0,NA,1
"Work","Alone","RAINY",80,"6pm","Carry out & Take away","2h",NA,"46","Married partner",0,"HIGH SCHOOL GRADUATE","Arts Design Entertainment Sports & Media","$25000 - $37499","","less1","4~8","1~3",NA,"less1","1",0,0,1,0,NA
"Work","Alone","SNOWY",55,"6pm","Restaurant(<20)","1d","Female","46",NA,0,"bachelors degree","Arts Design Entertainment Sports & Media","$25000 - $37499",NA,"less1","4~8",NA,"1~3","less1","1",0,0,0,1,1
"Work","Alone","Snowy",55,"10PM","Coffee House","2h","Female","46","Married partner",0,"some college - no degree","Arts Design Entertainment Sports & Media","$25000 - $37499","","less1","4~8","1~3","1~3",NA,"1",1,0,0,1,0
"No Urgent Place","Alone","SNOWY",55,"10pm","Restaurant(<20)","1d","Male","26","Single",0,"High School Graduate","Office & Administrative Support","$37500 - $49999","","4~8","less1","1~3","4~8","1~3","1",NA,0,NA,1,1
"No Urgent Place","Friend(s)","Snowy",80,"10AM","Coffee House","2h",NA,"26","Single",0,"associates degree",NA,"$37500 - $49999","","4~8","less1","1~3","4~8","1~3","1",0,0,0,1,0
"No Urgent Place","Friend(s)","Sunny",80,"6PM","Bar",NA,"Male","26","Single",NA,"High School Graduate","Office & Administrative Support","$37500 - $49999","","4~8",NA,"1~3","4~8","1~3","1",0,0,0,1,1
"No Urgent Place","Friend(s)","SNOWY",80,"7am","Carry out & Take away","2h",NA,"26","Single",0,"graduate degree (masters or doctorate)","Office & Administrative Support","$37500 - $49999",NA,"4~8","less1","1~3","4~8","1~3","1",1,0,0,1,NA
"No Urgent Place","Friend(s)","SNOWY",80,"10AM","Coffee House","1d",NA,"26","Single",0,"Graduate Degree (Masters or Doctorate)",NA,"$37500 - $49999","","4~8","less1","1~3","4~8","1~3","0",0,0,0,1,1
"No Urgent Place","Friend(s)","Snowy",80,"10pm","Coffee House","2h","Male","26","Single",0,"BACHELORS DEGREE","Office & Administrative Support","$37500 - $49999","","4~8","less1",NA,"4~8","1~3","1",1,0,0,1,1
"No Urgent Place","Friend(s)","rainy",80,"10am",NA,"1d","Male","26","Single",0,"graduate degree (masters or doctorate)","Office & Administrative Support","$37500 - $49999","","4~8","less1","1~3","4~8","1~3","1",1,NA,0,1,0
"No Urgent Place","Friend(s)","sunny",80,"10AM","Restaurant(<20)","1d","Male","26","Single",0,"associates degree","Office & Administrative Support","$37500 - $49999","","4~8","less1",NA,NA,"1~3","1",1,0,0,1,1
"No Urgent Place","Friend(s)","RAINY",80,"10AM","Coffee House","2h","Male","26","Single",NA,"Some College - No Degree","Office & Administrative Support",NA,"","4~8","less1","1~3","4~8","1~3","0",0,0,0,1,1
NA,NA,"sunny",80,"10pm","Restaurant(<20)","2h","Male","26","Single",0,"SOME COLLEGE - NO DEGREE","Office & Administrative Support","$37500 - $49999","","4~8","less1","1~3","4~8","1~3","1",1,0,0,1,1
"No Urgent Place","Friend(s)","snowy",55,"10AM","Coffee House","2h","Male","26","Single",0,"Associates Degree","Office & Administrative Support","$37500 - $49999","","4~8",NA,"1~3","4~8","1~3","1",NA,0,0,1,1
"No Urgent Place","Friend(s)","SNOWY",55,"2PM","Carry out & Take away","1d","Male","26","Single",0,"SOME COLLEGE - NO DEGREE",NA,"$37500 - $49999","","4~8","less1","1~3","4~8","1~3","1",1,0,0,1,1
"No Urgent Place","Alone","sunny",55,"10PM","Coffee House","2h","Male","26",NA,0,"Associates Degree",NA,"$37500 - $49999","","4~8","less1","1~3","4~8","1~3","1",NA,0,0,1,1
"Home","Alone","rainy",NA,"6PM","Bar","1d","Male","26","Single",0,"SOME COLLEGE - NO DEGREE","Office & Administrative Support","$37500 - $49999","","4~8","less1","1~3","4~8","1~3","1",0,NA,1,0,1
"Home","Alone","Snowy",55,"10am",NA,"1d","Male","26","Single",0,"associates degree","Office & Administrative Support","$37500 - $49999","","4~8","less1","1~3",NA,"1~3","1",1,0,NA,1,1
"Home","Alone","rainy",80,"2pm","Coffee House","2h","Male",NA,"Single",0,"SOME COLLEGE - NO DEGREE",NA,"$37500 - $49999","","4~8","less1","1~3","4~8","1~3","1",0,0,0,1,0
"Work","Alone","RAINY",55,"2PM",NA,"2h","Male","26","Single",0,"associates degree","Office & Administrative Support","$37500 - $49999","","4~8","less1","1~3","4~8","1~3","1",1,1,0,1,0
"Work","Alone","sunny",55,"2pm","Bar","1d","Male","26","Single",0,"Some College - No Degree","Office & Administrative Support","$37500 - $49999","","4~8","less1","1~3","4~8","1~3","1",1,1,0,1,1
"Work","Alone","SNOWY",80,"2pm","Restaurant(20-50)","1d","Male","26",NA,0,"Some College - No Degree","Office & Administrative Support","$37500 - $49999","","4~8","less1","1~3","4~8","1~3","1",NA,NA,0,1,1
"Work","Alone","Rainy",80,"10pm","Carry out & Take away","2h","Male","26","Single",NA,"High School Graduate","Office & Administrative Support","$37500 - $49999","","4~8","less1",NA,"4~8","1~3","1",0,0,1,0,1
"Work","Alone","SUNNY",55,"10am","Restaurant(<20)",NA,"Male","26","Single",0,"Some College - No Degree","Office & Administrative Support","$37500 - $49999","","4~8","less1","1~3","4~8","1~3","1",0,0,0,1,NA
"Work","Alone","rainy",55,"10am","Coffee House",NA,"Male","26","Single",0,"Associates Degree","Office & Administrative Support","$37500 - $49999","","4~8","less1","1~3","4~8","1~3","1",1,0,0,1,1
"No Urgent Place","Alone","RAINY",55,"10pm","Restaurant(<20)","1d","Female","below21","Single",NA,"graduate degree (masters or doctorate)","Student",NA,"",NA,NA,"4~8",NA,"1~3","1",0,0,0,1,1
"No Urgent Place","Friend(s)","sunny",80,"10am","Coffee House","2h","Female","below21","Single",0,"Bachelors Degree","Student",NA,"","never","1~3","4~8","4~8","1~3","1",0,0,0,1,1
"No Urgent Place","Friend(s)","RAINY",80,"7am","Bar","1d","Female","below21","Single",0,"associates degree","Student","$100000 or More","","never","1~3","4~8","4~8","1~3","1",0,0,0,1,NA
"No Urgent Place","Friend(s)","snowy",80,"6PM","Carry out & Take away","2h","Female","below21","Single",0,"bachelors degree","Student",NA,"","never","1~3",NA,"4~8","1~3","1",1,0,0,1,1
"No Urgent Place","Friend(s)","SUNNY",80,"2PM","Coffee House","1d",NA,"below21","Single",0,"some college - no degree",NA,"$100000 or More",NA,"never","1~3","4~8","4~8","1~3","0",0,0,0,1,1
"No Urgent Place","Friend(s)","rainy",80,"10am","Coffee House","2h","Female","below21","Single",0,"BACHELORS DEGREE","Student","$100000 or More",NA,"never","1~3","4~8","4~8","1~3","1",NA,0,0,1,NA
"No Urgent Place","Friend(s)","Snowy",80,"7am","Coffee House","1d",NA,"below21","Single",0,"SOME HIGH SCHOOL","Student","$100000 or More","","never","1~3","4~8","4~8","1~3","0",1,0,0,1,1
"No Urgent Place","Friend(s)","sunny",80,"2pm",NA,"1d",NA,"below21","Single",0,"HIGH SCHOOL GRADUATE","Student","$100000 or More","","never","1~3","4~8","4~8","1~3","1",1,0,0,1,1
"No Urgent Place","Friend(s)","Rainy",80,"10PM","Coffee House","2h","Female","below21","Single",0,"GRADUATE DEGREE (MASTERS OR DOCTORATE)","Student","$100000 or More","","never","1~3","4~8","4~8","1~3","1",NA,0,0,1,1
"No Urgent Place","Friend(s)","snowy",80,"7am",NA,"2h","Female","below21","Single",0,"graduate degree (masters or doctorate)","Student","$100000 or More","","never","1~3","4~8","4~8","1~3","1",1,0,0,1,1
"No Urgent Place","Friend(s)","Sunny",55,"10pm","Coffee House","2h","Female",NA,"Single",NA,"High School Graduate","Student","$100000 or More",NA,"never","1~3","4~8","4~8",NA,"1",0,0,0,1,0
NA,"Friend(s)","sunny",55,"7am","Carry out & Take away","1d",NA,"below21","Single",0,"ASSOCIATES DEGREE","Student","$100000 or More","","never","1~3","4~8","4~8","1~3","1",NA,0,NA,NA,1
"No Urgent Place","Alone","snowy",55,"6pm","Coffee House","2h","Female",NA,"Single",0,"Some High School","Student","$100000 or More",NA,NA,"1~3","4~8","4~8","1~3","0",0,0,0,1,0
"Home","Alone","Snowy",55,"10PM","Bar","1d","Female","below21","Single",0,"Associates Degree","Student","$100000 or More",NA,"never","1~3","4~8",NA,"1~3","1",0,0,1,0,1
"Home","Alone","SUNNY",55,"10pm","Restaurant(20-50)","1d","Female","below21","Single",NA,"some high school","Student","$100000 or More","","never","1~3","4~8",NA,"1~3","1",1,NA,0,1,1
"Home","Alone","RAINY",80,"7AM","Coffee House","2h","Female","below21","Single",NA,"Some College - No Degree","Student","$100000 or More","","never","1~3","4~8","4~8",NA,"1",0,0,0,1,0
"Work",NA,"RAINY",55,"10PM","Coffee House","2h","Female","below21","Single",0,"graduate degree (masters or doctorate)","Student","$100000 or More","","never","1~3","4~8","4~8","1~3","1",1,1,0,1,0
"Work","Alone","Sunny",55,"6pm","Bar",NA,"Female","below21",NA,NA,"bachelors degree",NA,"$100000 or More","",NA,"1~3","4~8","4~8","1~3","1",1,1,0,1,0
"Work","Alone","sunny",NA,"10am","Restaurant(20-50)","1d","Female","below21","Single",0,"SOME COLLEGE - NO DEGREE","Student","$100000 or More","","never","1~3","4~8","4~8","1~3","1",1,0,0,1,0
"Work","Alone","Rainy",80,"2pm","Carry out & Take away","2h","Female","below21","Single",0,"high school graduate","Student","$100000 or More","","never","1~3","4~8","4~8","1~3","1",0,0,1,0,0
"Work","Alone","rainy",55,"2pm","Restaurant(<20)","1d",NA,"below21","Single",0,"graduate degree (masters or doctorate)","Student","$100000 or More","","never","1~3","4~8","4~8","1~3","1",0,0,NA,1,1
"Work","Alone","Rainy",55,"7am","Coffee House","2h","Female","below21","Single",0,"BACHELORS DEGREE",NA,"$100000 or More","","never",NA,"4~8",NA,"1~3","1",1,0,0,NA,0
"No Urgent Place","Alone","SUNNY",55,"6pm","Restaurant(<20)","1d","Female","41","Married partner",1,"High School Graduate",NA,"$25000 - $37499","","never","never",NA,"1~3","less1","1",0,0,0,1,NA
"No Urgent Place","Friend(s)","Snowy",80,"6PM","Coffee House","2h","Female",NA,"Married partner",1,"HIGH SCHOOL GRADUATE","Unemployed","$25000 - $37499","","never","never","4~8","1~3","less1","1",0,0,0,1,0
"No Urgent Place","Friend(s)","rainy",80,"2pm","Carry out & Take away","2h","Female","41","Married partner",1,"High School Graduate","Unemployed","$25000 - $37499","","never","never","4~8","1~3","less1","1",1,0,0,NA,NA
"No Urgent Place","Friend(s)","SUNNY",80,"10PM","Coffee House","2h","Female","41",NA,1,"Some College - No Degree","Unemployed",NA,"","never","never","4~8","1~3","less1","1",1,0,0,1,0
"No Urgent Place","Friend(s)","RAINY",80,"2PM","Coffee House","1d","Female",NA,"Married partner",1,"Graduate Degree (Masters or Doctorate)","Unemployed",NA,NA,"never","never","4~8","1~3",NA,"1",1,0,0,1,0
"No Urgent Place","Friend(s)","sunny",80,"10PM","Restaurant(<20)","2h",NA,"41","Married partner",1,"Associates Degree","Unemployed","$25000 - $37499","","never","never","4~8","1~3","less1","1",1,0,0,NA,1
"No Urgent Place","Friend(s)","Snowy",55,"7am","Carry out & Take away","1d","Female","41","Married partner",1,"High School Graduate","Unemployed",NA,"","never","never","4~8","1~3","less1","1",1,0,0,NA,1
NA,"Kid(s)","Snowy",80,"7am",NA,NA,"Female","41","Married partner",1,"ASSOCIATES DEGREE","Unemployed","$25000 - $37499","","never","never",NA,"1~3","less1","1",1,0,0,1,1
"No Urgent Place","Kid(s)","rainy",80,"2pm","Carry out & Take away","2h","Female","41","Married partner",1,"Some College - No Degree","Unemployed","$25000 - $37499","","never","never","4~8","1~3",NA,"1",1,0,0,1,1
"No Urgent Place","Kid(s)","Rainy",80,"2PM","Bar","1d","Female",NA,"Married partner",1,"Bachelors Degree","Unemployed","$25000 - $37499","","never","never","4~8",NA,"less1","1",1,0,0,1,0
"No Urgent Place","Kid(s)","rainy",NA,"7AM","Restaurant(<20)",NA,"Female","41","Married partner",1,"Some College - No Degree","Unemployed","$25000 - $37499","","never","never","4~8","1~3","less1","1",0,0,0,NA,1
"No Urgent Place","Kid(s)","Rainy",NA,"2pm","Restaurant(<20)","1d",NA,"41","Married partner",1,"Some High School","Unemployed","$25000 - $37499","","never","never","4~8","1~3",NA,"1",1,0,0,1,1
"No Urgent Place","Kid(s)","SUNNY",55,"7AM","Coffee House","2h","Female","41","Married partner",NA,"ASSOCIATES DEGREE","Unemployed","$25000 - $37499","","never",NA,"4~8","1~3","less1","1",1,0,0,1,NA
"Home","Alone","Snowy",55,"10pm","Bar","1d",NA,NA,"Married partner",1,"graduate degree (masters or doctorate)","Unemployed","$25000 - $37499","","never","never","4~8","1~3","less1","1",0,0,1,0,0
"Home","Alone","snowy",55,"6pm","Restaurant(20-50)","1d","Female","41","Married partner",1,"bachelors degree","Unemployed",NA,"",NA,"never","4~8","1~3","less1","1",1,0,0,NA,1
"Home","Alone","RAINY",80,"2pm","Coffee House","2h","Female","41","Married partner",NA,"high school graduate","Unemployed","$25000 - $37499","","never","never",NA,"1~3","less1","1",NA,0,0,1,0
"Work","Alone","Sunny",55,"7AM",NA,"2h","Female","41","Married partner",1,"bachelors degree","Unemployed","$25000 - $37499","","never","never","4~8","1~3","less1","0",1,1,0,1,1
"Work",NA,"SNOWY",55,"10PM","Bar","1d","Female","41","Married partner",1,"high school graduate","Unemployed","$25000 - $37499",NA,"never","never","4~8","1~3",NA,"1",NA,1,0,1,0
"Work","Alone","snowy",80,"10pm","Restaurant(20-50)",NA,"Female","41","Married partner",1,"HIGH SCHOOL GRADUATE","Unemployed","$25000 - $37499","",NA,"never","4~8","1~3","less1","1",1,0,0,1,0
NA,"Alone","rainy",80,"6pm","Carry out & Take away",NA,"Female","41",NA,1,"Some High School","Unemployed","$25000 - $37499",NA,NA,"never","4~8","1~3","less1","0",0,NA,1,0,1
"Work","Alone","rainy",55,"7am","Restaurant(<20)","1d","Female","41",NA,1,"associates degree",NA,"$25000 - $37499","","never","never","4~8",NA,"less1","1",0,0,0,1,1
"Work","Alone","rainy",55,"2pm","Coffee House","2h","Female","41","Married partner",1,"Some High School",NA,"$25000 - $37499","","never",NA,"4~8","1~3","less1","1",1,NA,0,NA,0
NA,"Alone","RAINY",55,"10am","Restaurant(<20)","1d","Female","41","Divorced",1,"ASSOCIATES DEGREE","Protective Service","$25000 - $37499","","less1",NA,NA,"1~3","less1","1",0,0,0,1,1
"No Urgent Place",NA,"SUNNY",80,"2pm","Coffee House","2h","Female","41","Divorced",1,"Some High School","Protective Service","$25000 - $37499",NA,"less1","less1","4~8","1~3",NA,"0",NA,0,0,1,1
"No Urgent Place","Friend(s)","Sunny",NA,"2pm","Carry out & Take away","2h","Female","41","Divorced",1,"associates degree","Protective Service","$25000 - $37499","","less1","less1",NA,"1~3",NA,"1",1,0,NA,1,1
"No Urgent Place","Friend(s)","SUNNY",80,"10am",NA,"2h","Female","41",NA,1,"Associates Degree","Protective Service","$25000 - $37499","","less1","less1","4~8","1~3","less1","1",1,0,NA,1,1
"No Urgent Place","Friend(s)","RAINY",80,"10am","Coffee House","1d","Female","41","Divorced",1,"SOME COLLEGE - NO DEGREE","Protective Service","$25000 - $37499",NA,"less1","less1",NA,"1~3","less1","1",1,0,0,1,NA
"No Urgent Place","Friend(s)","SUNNY",80,"10am","Restaurant(<20)","2h",NA,"41","Divorced",1,"high school graduate","Protective Service","$25000 - $37499","","less1","less1","4~8","1~3","less1","1",1,0,0,1,1
"No Urgent Place",NA,"Sunny",NA,"10am","Carry out & Take away","1d","Female","41","Divorced",1,"Graduate Degree (Masters or Doctorate)","Protective Service","$25000 - $37499","","less1","less1","4~8","1~3","less1","1",1,NA,0,1,1
"No Urgent Place","Kid(s)","Rainy",80,"10AM","Restaurant(<20)","2h","Female","41","Divorced",NA,"graduate degree (masters or doctorate)","Protective Service","$25000 - $37499","","less1","less1","4~8","1~3","less1","1",1,NA,NA,1,1
"No Urgent Place","Kid(s)","RAINY",80,"10pm","Carry out & Take away","2h","Female","41","Divorced",1,"associates degree","Protective Service","$25000 - $37499","","less1","less1","4~8","1~3","less1","1",1,NA,0,1,1
"No Urgent Place","Kid(s)","RAINY",80,"10am","Bar","1d","Female","41","Divorced",1,"high school graduate","Protective Service","$25000 - $37499","","less1",NA,"4~8","1~3","less1","1",1,0,0,1,0
NA,"Kid(s)","rainy",80,"10AM",NA,"1d","Female","41","Divorced",1,"some high school","Protective Service","$25000 - $37499","","less1","less1","4~8","1~3","less1","1",0,0,0,1,1
"No Urgent Place","Kid(s)","rainy",55,"7AM",NA,"1d","Female","41","Divorced",NA,"Associates Degree","Protective Service","$25000 - $37499","","less1","less1",NA,"1~3","less1","1",1,0,NA,1,1
"No Urgent Place","Kid(s)","Rainy",55,"10AM","Coffee House","2h","Female","41","Divorced",1,"ASSOCIATES DEGREE","Protective Service","$25000 - $37499","","less1","less1","4~8","1~3","less1","0",1,0,0,1,NA
"Home","Alone","Snowy",55,"6PM","Bar","1d","Female",NA,"Divorced",1,"HIGH SCHOOL GRADUATE","Protective Service","$25000 - $37499","","less1","less1","4~8","1~3",NA,"1",0,0,1,0,1
"Home","Alone","snowy",55,"10AM","Restaurant(20-50)","1d","Female","41","Divorced",1,"High School Graduate","Protective Service","$25000 - $37499","","less1","less1","4~8","1~3","less1","1",1,0,0,1,1
NA,"Alone","SUNNY",80,"6pm","Coffee House","2h","Female","41","Divorced",1,"Some College - No Degree","Protective Service","$25000 - $37499","","less1","less1",NA,"1~3","less1","1",0,0,0,1,0
"Work","Alone","SUNNY",NA,"10am","Coffee House","2h","Female",NA,"Divorced",NA,"ASSOCIATES DEGREE","Protective Service","$25000 - $37499","","less1","less1","4~8","1~3","less1","1",1,NA,0,1,0
"Work","Alone","snowy",55,"7AM","Bar","1d","Female","41","Divorced",1,"BACHELORS DEGREE","Protective Service","$25000 - $37499","","less1","less1","4~8","1~3","less1","1",1,NA,0,1,0
"Work","Alone","rainy",NA,"6PM","Restaurant(20-50)","1d",NA,"41","Divorced",1,"associates degree","Protective Service","$25000 - $37499","","less1","less1","4~8","1~3","less1","1",1,0,0,1,0
"Work","Alone","snowy",80,"7am","Carry out & Take away","2h","Female","41",NA,1,"Some College - No Degree","Protective Service","$25000 - $37499","","less1","less1","4~8","1~3","less1","0",0,0,NA,0,1
"Work","Alone","sunny",55,"2PM","Restaurant(<20)","1d","Female","41","Divorced",1,"high school graduate","Protective Service",NA,"",NA,"less1","4~8",NA,"less1","1",0,0,NA,1,1
"Work","Alone","snowy",55,"7AM","Coffee House","2h","Female","41","Divorced",1,"Some High School","Protective Service","$25000 - $37499","","less1","less1","4~8","1~3",NA,"1",NA,0,0,1,0
"No Urgent Place",NA,"Sunny",55,"10am","Restaurant(<20)","1d","Female","21","Unmarried partner",0,"SOME HIGH SCHOOL","Student","$25000 - $37499","","less1","4~8","1~3","","less1","0",0,0,0,1,1
"No Urgent Place","Friend(s)","SNOWY",80,"10am","Coffee House","2h","Female","21","Unmarried partner",0,"Associates Degree","Student","$25000 - $37499","","less1","4~8","1~3","","less1","1",0,NA,0,1,1
"No Urgent Place","Friend(s)","Sunny",80,"6PM",NA,"2h",NA,"21","Unmarried partner",0,"graduate degree (masters or doctorate)",NA,"$25000 - $37499","","less1","4~8","1~3","","less1","1",NA,0,0,1,1
"No Urgent Place","Friend(s)","Sunny",80,"10pm","Coffee House","2h","Female","21","Unmarried partner",0,"SOME COLLEGE - NO DEGREE","Student","$25000 - $37499","",NA,"4~8","1~3","","less1","0",NA,0,0,NA,1
"No Urgent Place","Friend(s)","rainy",80,"7am","Coffee House","1d","Female","21","Unmarried partner",NA,"ASSOCIATES DEGREE","Student",NA,"",NA,"4~8",NA,"","less1","1",NA,NA,0,1,1
